"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"shi8",1.97790712421738,7.63888888888889,"shi","8",-0.229353574581958
"Prat28",0.647250105961808,2.08333333333333,"Prat2","8",-0.641292712184004
"flw8",4.50188824416387,13.1944444444444,"flw","8",0.251891529873188
"Men8",3.16321577158656,5.55555555555556,"Men","8",-0.852732195537036
"Cpr49Ae8",1.78606468420657,4.16666666666667,"Cpr49Ae","8",-0.107364380843568
"CG400068",1.12458932817598,4.86111111111111,"CG40006","8",-0.188253262399455
"Cys8",27.8777505237466,26.3888888888889,"Cys","8",0.703260310394955
"CLIP-1908",7.26161062944234,11.8055555555556,"CLIP-190","8",-0.881389146800608
"DIP-alpha8",65.5517584474004,36.8055555555556,"DIP-alpha","8",1.56009086796446
"CG59538",0.98167003541508,4.16666666666667,"CG5953","8",-0.720449552677035
"dally8",3.02347114479417,13.8888888888889,"dally","8",1.09359504143334
"CG12138",1.39430096722057,2.77777777777778,"CG1213","8",-0.772463020666209
"Cip48",5.09958805844791,13.8888888888889,"Cip4","8",0.232508154714457
"RapGAP18",10.8530241082028,27.0833333333333,"RapGAP1","8",0.488302255952032
"apolpp9",57.6753121985885,23.0769230769231,"apolpp","9",-0.445704845555512
"GEFmeso9",7.48923084832377,25.1748251748252,"GEFmeso","9",2.5
"CG313139",3.6981685687619,4.1958041958042,"CG31313","9",-0.42228198239881
"mgl9",0.630359041276186,2.0979020979021,"mgl","9",-0.380760117480439
"tyf9",1.73260064451251,7.69230769230769,"tyf","9",0.0824696829426277
"dnc9",43.5802956363496,45.4545454545455,"dnc","9",0.951799462025608
"shi9",1.13214660850028,5.59440559440559,"shi","9",-0.430631262026409
"Prat29",1.39510177915135,2.7972027972028,"Prat2","9",-0.368032707336397
"flw9",6.72657821929577,20.979020979021,"flw","9",1.04875502135716
"Men9",4.00893052940441,6.29370629370629,"Men","9",-0.673400073567215
"Cpr49Ae9",0,0,"Cpr49Ae","9",-0.48825631656632
"CG400069",1.18984256182119,5.59440559440559,"CG40006","9",-0.131926889242375
"Cys9",3.91499547842094,5.59440559440559,"Cys","9",-0.391873457019743
"CLIP-1909",8.66455382509953,16.7832167832168,"CLIP-190","9",-0.763376204069998
"DIP-alpha9",23.9085310269555,16.7832167832168,"DIP-alpha","9",-0.7366745980468
"CG59539",4.52542303797055,9.79020979020979,"CG5953","9",1.5426572391347
"dally9",4.32978095591253,16.7832167832168,"dally","9",2.19627836239032
"CG12139",3.17532631861615,6.99300699300699,"CG1213","9",-0.152581597686644
"Cip49",10.3588306333196,26.5734265734266,"Cip4","9",1.70581526972555
"RapGAP19",11.0543332911245,21.6783216783217,"RapGAP1","9",0.507513524749426
"apolpp10",44.0057805313815,17.3913043478261,"apolpp","10",-0.565228381141414
"GEFmeso10",0.711290328863355,4.34782608695652,"GEFmeso","10",-0.518655945680851
"CG3131310",19.4319750801872,20.6521739130435,"CG31313","10",0.122375110689185
"mgl10",2.29086905659486,6.52173913043478,"mgl","10",-0.292062102052206
"tyf10",0.662094344586393,3.26086956521739,"tyf","10",-1.0065832455874
"dnc10",25.328711501,36.9565217391304,"dnc","10",-0.00221694587974433
"shi10",1.04004807073549,4.34782608695652,"shi","10",-0.452549264053962
"Prat210",0,0,"Prat2","10",-0.877793576504343
"flw10",2.7294597325706,7.60869565217391,"flw","10",-0.382976064237407
